,DOWhour,datecode,procent,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,prosocial,emo_posp,emo_negp,emo_anxp,emo_angerp,emo_sadp,prosocialp,DOW.x,hour.x,emo_sadb,emo_angerb,emo_anxb,emo_negb,emo_posb,prosocialb,DOW.y,hour.y,emo_posw,emo_negw,emo_anxw,emo_angerw,emo_sadw,prosocialw,rank,year,month,day,hour,time0,daysno
1,Wednesday 07,10107,0.999722222,9000.33,588.4,82.13,152.27,120.03,1970.15,9002.830786,588.5634899,82.15282023,152.312309,120.0633509,1970.697416,Wednesday,7,-86.51863565,-83.09124182,-89.67619439,-86.55468924,-38.00529749,-82.25591994,Wednesday,7,14521.93562,4377.462896,795.7610142,900.7894451,890.5875387,11106.22477,1,2020,1,1,7,2020-01-01-07,101
2,Wednesday 08,10108,0.999722222,19140.43,1504.69,387.65,267.55,311.61,4507.76,19145.74826,1505.108086,387.7577105,267.6243401,311.6965824,4509.012503,Wednesday,8,-66.36646325,-74.09228009,-37.69761619,-64.38876434,21.45708223,-55.04277111,Wednesday,8,15763.38564,4226.497783,622.3802153,1032.990711,926.743401,10029.56057,2,2020,1,1,8,2020-01-01-08,101
3,Wednesday 09,10109,0.877222222,26042.88,2243.25,258.02,436.4,516.29,6782.86,29687.8936,2557.219759,294.1329956,497.4794174,588.5509816,7732.20266,Wednesday,9,-46.63284749,-45.06457373,-54.86958526,-40.38589718,107.1968339,-26.44860559,Wednesday,9,14328.35292,4289.62215,651.7400677,905.5712336,1102.833773,10512.65271,3,2020,1,1,9,2020-01-01-09,101
4,Wednesday 10,10110,0.737777778,23347.05,3112.8,740.53,609.94,569.88,7709.14,31645.09789,4219.156627,1003.730422,826.7259036,772.4277108,10449.13554,Wednesday,10,-11.83157294,-19.31392076,62.02037645,-4.033499263,133.2615935,-3.162764848,Wednesday,10,13566.35588,4396.488977,619.5087579,1024.620246,876.0819906,10790.41086,4,2020,1,1,10,2020-01-01-10,101
5,Wednesday 11,10111,0.664444444,20445.15,3216.17,553.84,564.26,584.45,7191.39,30770.29264,4840.389632,833.5384615,849.2207358,879.6070234,10823.16221,Wednesday,11,-2.628246814,-9.908474284,-9.070089267,5.819341559,140.8197958,-6.524253992,Wednesday,11,12777.31033,4574.201238,916.6823709,942.6199957,903.3492719,11578.57805,5,2020,1,1,11,2020-01-01-11,101
6,Wednesday 12,10112,0.589166667,17694.12,3029.72,409.51,455.64,538,6172.12,30032.45262,5142.381895,695.0664781,773.3635078,913.1541726,10476.01697,Wednesday,12,-16.7003183,-39.34024595,-14.01348973,5.502072069,115.0168293,-0.367530462,Wednesday,12,13967.4893,4874.199904,808.3436296,1274.920283,1096.227685,10514.66156,6,2020,1,1,12,2020-01-01-12,101
7,Wednesday 13,10113,0.6425,15850.02,2884.58,487.47,661.56,314.04,6865.23,24669.29183,4489.618677,758.7081712,1029.66537,488.7782101,10685.18288,Wednesday,13,-52.40955515,-16.44881198,-9.402930212,-8.684339394,86.5170079,12.86139424,Wednesday,13,13226.29615,4916.592233,837.4533227,1232.376695,1027.051148,9467.526917,7,2020,1,1,13,2020-01-01-13,101
8,Wednesday 14,10114,0.596388889,15218.18,3866.92,498.05,750.86,804.05,7297.83,25517.20913,6483.890079,835.1094551,1259.010713,1348.197485,12236.69679,Wednesday,14,48.02385313,12.59166709,22.47617416,49.91093561,95.41073675,12.14818704,Wednesday,14,13058.24314,4325.161505,681.8546226,1118.209496,910.7974535,10911.18556,8,2020,1,1,14,2020-01-01-14,101
9,Wednesday 15,10115,0.569722222,12238.25,4015.26,464.13,809.74,585.43,6170.06,21481.0824,7047.750366,814.6601658,1421.289127,1027.570941,10829.94442,Wednesday,15,9.518379081,62.44713515,53.4205643,72.45780532,57.01560388,3.275621215,Wednesday,15,13680.85838,4086.652009,530.9980246,874.9240951,938.2634674,10486.4481,9,2020,1,1,15,2020-01-01-15,101
10,Wednesday 16,10116,0.481111111,12518.22,4299.98,436.97,1035.97,682.21,5949.2,26019.39492,8937.602771,908.2517321,2153.286374,1417.988453,12365.54273,Wednesday,16,48.64487649,52.72354932,9.913907444,73.60644675,74.06437258,3.428392415,Wednesday,16,14948.14506,5148.197512,826.330128,1409.924261,953.9437121,11955.65592,10,2020,1,1,16,2020-01-01-16,101
